id,price,property_type,subproperty_type,region,province,locality,zip_code,latitude,longitude,construction_year,total_area_sqm,surface_land_sqm,nbr_frontages,nbr_bedrooms,equipped_kitchen,fl_furnished,fl_open_fire,fl_terrace,terrace_sqm,fl_garden,garden_sqm,fl_swimming_pool,fl_floodzone,state_building,primary_energy_consumption_sqm,epc,heating_type,fl_double_glazing,cadastral_income
34221000,225000,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2050,51.2171725,4.3799821,1963,100,,2,2,INSTALLED,0,0,1,5,0,0,0,0,MISSING,231,C,GAS,1,922
2104000,449000,HOUSE,HOUSE,Flanders,East Flanders,Gent,9185,51.174944,3.845248,,,680,,2,MISSING,0,0,0,0,0,0,0,0,MISSING,221,C,MISSING,1,406
34036000,335000,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1070,50.8420431,4.3345427,,142,,2,3,INSTALLED,0,0,1,,0,0,0,1,AS_NEW,,MISSING,GAS,0,
58496000,501000,HOUSE,HOUSE,Flanders,Antwerp,Turnhout,2275,51.2383125,4.8171921,2024,187,505,,3,MISSING,0,0,0,0,0,0,0,1,MISSING,99,A,MISSING,0,
48727000,982700,APARTMENT,DUPLEX,Wallonia,Walloon Brabant,Nivelles,1410,,,2022,169,,2,2,HYPER_EQUIPPED,0,0,1,20,1,142,0,0,AS_NEW,19,A+,GAS,0,
22183000,548514,HOUSE,HOUSE,Flanders,Flemish Brabant,Halle-Vilvoorde,1700,,,,187,710,4,3,MISSING,0,0,0,0,0,0,0,1,AS_NEW,,MISSING,MISSING,0,
13232000,325000,APARTMENT,APARTMENT,Wallonia,Walloon Brabant,Nivelles,1420,50.6836074,4.3715129,,80,,,1,MISSING,0,0,1,11,0,0,0,1,MISSING,,MISSING,GAS,1,
48707000,424000,HOUSE,HOUSE,Flanders,East Flanders,Gent,9800,50.9830147,3.5707416,2023,155,291,,4,HYPER_EQUIPPED,0,0,0,0,0,0,0,0,GOOD,,MISSING,MISSING,1,
74290000,185000,APARTMENT,APARTMENT,Wallonia,Liège,Liège,4000,50.6318255,5.5573521,,,,2,2,MISSING,0,0,1,,0,0,0,1,MISSING,212,C,MISSING,1,
58028000,3500000,HOUSE,VILLA,Flanders,West Flanders,Brugge,8300,51.3533226,3.2963532,1935,277,588,,6,MISSING,0,0,0,0,0,0,0,0,TO_RENOVATE,394,D,MISSING,0,
28322000,385000,HOUSE,HOUSE,Flanders,East Flanders,Sint-Niklaas,9190,51.2062441,4.0756996,,309,309,3,3,MISSING,0,0,0,0,0,0,0,1,MISSING,,MISSING,MISSING,0,
